judet,nume
ALBA,PATRAHAITESTI
ALBA,PATRINGENI
ALBA,PATRUSESTI
ALBA,PATRUTESTI
ALBA,PELES
ALBA,PERJESTI
ALBA,PESTE VALEA BISTRII
ALBA,PETELCA
ALBA,PETELEI
ALBA,PETREASA
ALBA,PETRENI
ALBA,PETRESTI
ALBA,PETRISAT
ALBA,PIANU DE JOS
ALBA,PIANU DE SUS
ALBA,PICLISA
ALBA,PIRAU GRUIULUI
ALBA,PIRAU LUI MIHAI
ALBA,PIRITA
ALBA,PIRIU-CARBUNARI
ALBA,PITARCESTI
ALBA,PITIGA
ALBA,PLAIURI
ALBA,PLESCUTA
ALBA,PLESESTI
ALBA,PLESI
ALBA,PLISTI
ALBA,PODU LUI PAUL
ALBA,PODURI-BRICESTI
ALBA,POIANA AIUDULUI
ALBA,POIANA AMPOIULUI
ALBA,POIANA GALDEI
ALBA,POIANA URSULUI
ALBA,POIANA VADULUI
ALBA,POIENI
ALBA,POIENILE-MOGOS
ALBA,POIENITA
ALBA,PONOR
ALBA,PONOREL
ALBA,POPESTI
ALBA,POPESTII DE JOS
ALBA,POPESTII DE SUS
ALBA,POSAGA DE JOS
ALBA,POSAGA DE SUS
ALBA,POSOGANI
ALBA,POTIONCI
ALBA,PRELUCA
ALBA,PRESACA AMPOIULUI
ALBA,PUIULETESTI
ALBA,PURCARETI
ALBA,PUSELESTI
ALBA,RACATAU
ALBA,RACHIS
ALBA,RACHITA
ALBA,RADESTI
ALBA,RAHAU
ALBA,RAICANI
ALBA,RATITIS
ALBA,RAVICESTI
ALBA,RAZBOIENI-CETATE
ALBA,RECIU
ALBA,REMETEA
ALBA,RIMET
ALBA,RIMETEA
ALBA,ROBESTI
ALBA,ROGOZ
ALBA,ROSESTI
ALBA,ROSIA DE SECAS
ALBA,ROSIA MONTANA
ALBA,RUNCURI
ALBA,RUSESTI
ALBA,SAGAGEA
ALBA,SALAGESTI
ALBA,SALCIUA DE JOS
ALBA,SALCIUA DE SUS
ALBA,SALISTEA
ALBA,SALISTEA-DEAL
ALBA,SARACSAU
ALBA,SARTAS
ALBA,SASCIORI
ALBA,SCARISOARA
ALBA,SCOARTA
ALBA,SEBES
ALBA,SEBESEL
ALBA,SEBISESTI
ALBA,SECASEL
ALBA,SEGAJ
ALBA,SEUSA
ALBA,SFIRCEA
ALBA,SFOARTEA
ALBA,SIBOT
ALBA,SICOIESTI
ALBA,SILEA
ALBA,SILIVAS
ALBA,SIMOCESTI
ALBA,SIMULESTI
ALBA,SINBENEDIC
ALBA,SINCEL
ALBA,SINCRAI
ALBA,SINMICLAUS
ALBA,SINTAMARIE
ALBA,SINTIMBRU
ALBA,SNIDE
ALBA,SOHARU
ALBA,SOHODOL
ALBA,SOICESTI
ALBA,SOIMUS
ALBA,SORLITA
ALBA,SPALNACA
ALBA,SPATAC
ALBA,SPRING
ALBA,STANA DE MURES
ALBA,STANESTI
ALBA,STAUINI
ALBA,STEFANCA
ALBA,STEI-ARIESENI
ALBA,STERTESTI
ALBA,STILNISOARA
ALBA,STIULETI
ALBA,STRAJA
ALBA,STREMT
ALBA,STRUNGARI
ALBA,STURU
ALBA,SUB PIATRA
ALBA,SUCESTI
ALBA,SUGAG
ALBA,SURDESTI
ALBA,SUSENI
ALBA,TAMBORESTI
ALBA,TARANESTI
ALBA,TARINA
ALBA,TARTARIA
ALBA,TATIRLAUA
ALBA,TAU BISTRA
ALBA,TAUNI
ALBA,TAUTI
ALBA,TECSESTI
ALBA,TEIUS
ALBA,TELEAC
ALBA,TELNA
ALBA,TIBRU
ALBA,TIFRA
ALBA,TIRSA
ALBA,TIRSA-PLAI
ALBA,TOLACESTI
ALBA,TOMESTI
ALBA,TOMNATEC
ALBA,TOMUSESTI
ALBA,TOMUTESTI
ALBA,TONEA
ALBA,TOTESTI
ALBA,TOTOI
ALBA,TRIFESTI
ALBA,TRIMPOIELE
ALBA,TRINCESTI
ALBA,TRISORESTI
ALBA,TURDAS
ALBA,UIOARA DE JOS
ALBA,UIOARA DE SUS
ALBA,UNGUREI
ALBA,URDES
ALBA,VADU MOTILOR
ALBA,VALE IN JOS
ALBA,VALEA ABRUZEL
ALBA,VALEA ALBA
ALBA,VALEA BARNII
ALBA,VALEA BIRLUTESTI
ALBA,VALEA BISTRII
ALBA,VALEA BUCURULUI
ALBA,VALEA CASELOR
ALBA,VALEA CERBULUI
ALBA,VALEA CIUCIULUI
ALBA,VALEA COCESTI
ALBA,VALEA FAGETULUI
ALBA,VALEA GIOGESTI
ALBA,VALEA GOBLII
ALBA,VALEA HOLHORII
ALBA,VALEA INZELULUI
ALBA,VALEA LARGA
ALBA,VALEA LUI MIHAI
ALBA,VALEA LUNGA
ALBA,VALEA LUPSII
ALBA,VALEA MACIULUI
ALBA,VALEA MANASTIRII
ALBA,VALEA MARE
ALBA,VALEA MICA
ALBA,VALEA MLACII
ALBA,VALEA MORII
ALBA,VALEA NEGRILESII
ALBA,VALEA POIENII
ALBA,VALEA SASULUI
ALBA,VALEA SESII
ALBA,VALEA TUPILOR
ALBA,VALEA UTULUI
ALBA,VALEA UZEI
ALBA,VALEA VERDE
ALBA,VALEA VINTULUI
ALBA,VALENI
ALBA,VALISOARA
ALBA,VAMA SEACA
ALBA,VANVUCESTI
ALBA,VASESTI
ALBA,VERDESTI
ALBA,VESEUS
ALBA,VIDOLM
ALBA,VIDRA
ALBA,VIDRISOARA
ALBA,VIEZURI
ALBA,VILCANEASA
ALBA,VILCEA
ALBA,VILCESTI
ALBA,VILTORI
ALBA,VINEREA
ALBA,VINGARD
ALBA,VINTA
ALBA,VINTU DE JOS
ALBA,VIRSI
ALBA,VIRSI-RONTU
ALBA,VIRSII MARI
ALBA,VIRSII MICI
ALBA,VIRTANESTI
ALBA,VIRTOP
ALBA,VLADESTI
ALBA,VLADOSESTI
ALBA,VULCAN
ALBA,VURPAR
ALBA,ZAGRIS
ALBA,ZARIES
ALBA,ZINZESTI
ALBA,ZLATNA
ARAD,ACIUTA
ARAD,AGRISU MARE
ARAD,AGRISU MIC
ARAD,ALDESTI
ARAD,ALMAS
ARAD,ALUNIS
ARAD,ANDREI SAGUNA
ARAD,APATEU
ARAD,ARANEAG
ARAD,ARCHIS
